Id;Title;Description
1;Black Tea;The most flavorful of teas, black teas are oxidized for longer than their green and oolong counterparts, creating stronger aromas and robust tastes. Expect full-bodied, rich flavors, and colors ranging from black to dark red.
2;Masala chai tea;Take black tea and add ginger and cardamon (and sometimes cinnamon, clove, or anise), then serve it with milk and sugar, and you get masala chai. This tea is especially popular in India, but it has found a home in contemporary Western coffeehouses in the last few decades.
3;Earl Grey;Perhaps the most famous of all black teas, earl grey is flavored with bergamot oil (which, for the few of you who aren't huge bergamot fans, is an orangey citrus fruit), lending it a perfumey musk.
4;Green Tea;This traditional Chinese tea is made from leaves that aren't oxidized as long as black tea leaves, producing flavors that range from earthy to toasty to seaweedy. Expect the color to be ... well, green! Though sometimes it could look yellow-ish.
5;Matcha;Of the many different types of tea, Matcha is a little peculiar. You won't find matcha leaves—this green tea comes as a stone-ground powder, and is so beloved in Japan that there's a ceremony centered around how to prepare and serve it. If you see green-tea ice cream, that's derived from matcha.
6;Sencha;Sencha is also one of the most-popular Japanese teas, but it differs from matcha in that it's served as leaves, not as a powder, and grown in the sunlight (whereas matcha is grown in shaded areas).
7;Oolong Tea;Oolong tea is made from the same plant that produces black and green tea, but while black tea is fully oxidized and green tea is not oxidized, oolong is semi-oxidized, then rolled to give it its signature shape. Oolong could be green-ish or brown-ish in color, and the variations in flavors are vast.
8;Pu'erh Tea;Another Chinese variety, Pu'erh is a fermented tea, using aged tea leaves—some are aged for decades before used. What you'll taste in pu'erh will vary, but you can expect smooth, mature flavors.
9;White Tea;Like green tea, white tea is not oxidized. But white teas are generally considered to have a lighter, more mellow flavor than green or black tea. Expect a yellow-ish, dim color.
10;Herbal Teas;"Herbal tea" is a catch-all term for most any tea that doesn't consist of tea plant leaves. Instead, an herbal tea is created by steeping spices, herbs, and other plants.
11;Chamomile Tea;A popular tea to wind down the evening with, chamomile is an herb that, when steeped, creates a tasty, perfumey brew. Some believe chamomile is the most stress-relieving of teas.
12;Chrysanthemum Tea;You've seen the flowers, now drink the tea! Chrysanthemum tea, predictably, tastes a lot like what you might imagine a flower would taste like—feel free to add a little honey to balance the bitterness.
13;Hibiscus Tea;Made from the petals of the roselle flower, hibiscus turns water into a handsome shade of red, and has perhaps the most fruity, tart flavor of any tea on this list.
14;Rooibos Tea;Rooibos is made from a South African plant and accordingly is especially popular in southern African countries. It's somewhat similar to hibiscus, but adds earthy tones to its tartness.
